case_id,attempt,type,difficulty,language,info_mode,status,stop_reason,iterations,wall_seconds,agent_seconds,llm_calls,prompt_tokens,completion_tokens,cost_usd,cost_source,overall_accuracy,strict_correct,false_convergence
en-escrow_3party-L1-005,1,escrow_3party,1,en,missing,done,ok,1,0.000471699982881546,0.000471699982881546,0,0,0,,unknown,1.0,True,False
vi-vesting-L2-003,1,vesting,2,vi,complete,done,ok,1,0.00029280001763254404,0.00029280001763254404,0,0,0,,unknown,1.0,True,False
vi-rental_deposit-L1-007,1,rental_deposit,1,vi,missing,done,ok,1,0.0005811000009998679,0.0005811000009998679,0,0,0,,unknown,1.0,True,False
en-crowdfunding-L3-008,1,crowdfunding,3,en,complete,done,ok,1,0.00043350004125386477,0.00043350004125386477,0,0,0,,unknown,1.0,True,False
en-crowdfunding-L2-002,1,crowdfunding,2,en,complete,done,ok,1,0.0005058999522589147,0.0005058999522589147,0,0,0,,unknown,1.0,True,False
vi-third_party-L3-006,1,third_party,3,vi,missing,done,ok,1,0.0005158999701961875,0.0005158999701961875,0,0,0,,unknown,1.0,True,False
vi-loan-L1-004,1,loan,1,vi,complete,done,ok,1,0.00043890002416446805,0.00043890002416446805,0,0,0,,unknown,1.0,True,False
en-swap-L1-007,1,swap,1,en,missing,done,ok,1,0.0003874999820254743,0.0003874999820254743,0,0,0,,unknown,1.0,True,False
en-crowdfunding-L1-006,1,crowdfunding,1,en,complete,done,ok,1,0.0004417999880388379,0.0004417999880388379,0,0,0,,unknown,1.0,True,False
vi-third_party-L2-004,1,third_party,2,vi,ambiguous,done,ok,1,0.0005771999713033438,0.0005771999713033438,0,0,0,,unknown,1.0,True,False
en-swap-L2-006,1,swap,2,en,ambiguous,done,ok,1,0.00042969995411112905,0.00042969995411112905,0,0,0,,unknown,1.0,True,False
vi-third_party-L3-010,1,third_party,3,vi,missing,done,ok,1,0.0004858000320382416,0.0004858000320382416,0,0,0,,unknown,1.0,True,False
vi-loan-L1-010,1,loan,1,vi,complete,done,ok,1,0.00037289998726919293,0.00037289998726919293,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L3-004,1,escrow_3party,3,vi,complete,done,ok,1,0.0016515000024810433,0.0016515000024810433,0,0,0,,unknown,1.0,True,False
en-milestone-L4-002,1,milestone,4,en,complete,done,ok,1,0.00046150002162903547,0.00046150002162903547,0,0,0,,unknown,1.0,True,False
en-cancellation_fee-L2-003,1,cancellation_fee,2,en,complete,done,ok,1,0.00048160000005736947,0.00048160000005736947,0,0,0,,unknown,1.0,True,False
en-swap-L3-005,1,swap,3,en,ambiguous,done,ok,1,0.00033359997905790806,0.00033359997905790806,0,0,0,,unknown,1.0,True,False
vi-third_party-L2-007,1,third_party,2,vi,missing,done,ok,1,0.000547099974937737,0.000547099974937737,0,0,0,,unknown,1.0,True,False
en-loan-L4-007,1,loan,4,en,missing,done,ok,1,0.0004276999970898032,0.0004276999970898032,0,0,0,,unknown,1.0,True,False
vi-third_party-L2-005,1,third_party,2,vi,complete,done,ok,1,0.0004781000316143036,0.0004781000316143036,0,0,0,,unknown,1.0,True,False
vi-swap-L3-008,1,swap,3,vi,missing,done,ok,1,0.00046790001215413213,0.00046790001215413213,0,0,0,,unknown,1.0,True,False
en-cancellation_fee-L3-002,1,cancellation_fee,3,en,ambiguous,done,ok,1,0.0005054000066593289,0.0005054000066593289,0,0,0,,unknown,1.0,True,False
en-escrow_3party-L1-002,1,escrow_3party,1,en,complete,done,ok,1,0.0006232000305317342,0.0006232000305317342,0,0,0,,unknown,1.0,True,False
vi-cancellation_fee-L2-004,1,cancellation_fee,2,vi,complete,done,ok,1,0.0004855000297538936,0.0004855000297538936,0,0,0,,unknown,1.0,True,False
vi-swap-L1-009,1,swap,1,vi,complete,done,ok,1,0.0005247000372037292,0.0005247000372037292,0,0,0,,unknown,1.0,True,False
en-rental_deposit-L2-008,1,rental_deposit,2,en,missing,done,ok,1,0.000546199968084693,0.000546199968084693,0,0,0,,unknown,1.0,True,False
en-cancellation_fee-L2-007,1,cancellation_fee,2,en,missing,done,ok,1,0.0006412999937310815,0.0006412999937310815,0,0,0,,unknown,1.0,True,False
en-escrow_2party-L1-011,1,escrow_2party,1,en,missing,done,ok,1,0.000534699996933341,0.000534699996933341,0,0,0,,unknown,1.0,True,False
en-loan-L2-002,1,loan,2,en,missing,done,ok,1,0.0004540000227279961,0.0004540000227279961,0,0,0,,unknown,1.0,True,False
en-rental_deposit-L4-004,1,rental_deposit,4,en,complete,done,ok,1,0.00057640002341941,0.00057640002341941,0,0,0,,unknown,1.0,True,False
en-third_party-L1-002,1,third_party,1,en,missing,done,ok,1,0.0005955999949947,0.0005955999949947,0,0,0,,unknown,1.0,True,False
vi-loan-L1-001,1,loan,1,vi,complete,done,ok,1,0.0004694000235758722,0.0004694000235758722,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L3-014,1,escrow_2party,3,vi,ambiguous,done,ok,1,0.0004387000226415694,0.0004387000226415694,0,0,0,,unknown,1.0,True,False
vi-cancellation_fee-L4-006,1,cancellation_fee,4,vi,missing,done,ok,1,0.0005379999638535082,0.0005379999638535082,0,0,0,,unknown,1.0,True,False
en-escrow_2party-L2-007,1,escrow_2party,2,en,complete,done,ok,1,0.0004525999538600445,0.0004525999538600445,0,0,0,,unknown,1.0,True,False
en-vesting-L3-007,1,vesting,3,en,complete,done,ok,1,0.0003850999637506902,0.0003850999637506902,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L4-004,1,escrow_2party,4,vi,complete,done,ok,1,0.0007138000219129026,0.0007138000219129026,0,0,0,,unknown,1.0,True,False
en-crowdfunding-L3-003,1,crowdfunding,3,en,complete,done,ok,1,0.0004537000204436481,0.0004537000204436481,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L1-003,1,escrow_2party,1,vi,complete,done,ok,1,0.0005271999980323017,0.0005271999980323017,0,0,0,,unknown,1.0,True,False
en-escrow_2party-L1-010,1,escrow_2party,1,en,complete,done,ok,1,0.0005735000013373792,0.0005735000013373792,0,0,0,,unknown,1.0,True,False
en-rental_deposit-L2-005,1,rental_deposit,2,en,complete,done,ok,1,0.0007122000097297132,0.0007122000097297132,0,0,0,,unknown,1.0,True,False
en-swap-L1-003,1,swap,1,en,complete,done,ok,1,0.00042890000622719526,0.00042890000622719526,0,0,0,,unknown,1.0,True,False
vi-third_party-L2-003,1,third_party,2,vi,complete,done,ok,1,0.0005998000269755721,0.0005998000269755721,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L4-006,1,escrow_3party,4,vi,complete,done,ok,1,0.0005277000018395483,0.0005277000018395483,0,0,0,,unknown,1.0,True,False
vi-cancellation_fee-L4-001,1,cancellation_fee,4,vi,complete,done,ok,1,0.000665700004901737,0.000665700004901737,0,0,0,,unknown,1.0,True,False
vi-swap-L3-010,1,swap,3,vi,complete,done,ok,1,0.0005052000051364303,0.0005052000051364303,0,0,0,,unknown,1.0,True,False
en-escrow_3party-L1-009,1,escrow_3party,1,en,missing,done,ok,1,0.0006311000324785709,0.0006311000324785709,0,0,0,,unknown,1.0,True,False
vi-milestone-L4-003,1,milestone,4,vi,complete,done,ok,1,0.0005459000240080059,0.0005459000240080059,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L4-012,1,escrow_2party,4,vi,missing,done,ok,1,0.0005873999907635152,0.0005873999907635152,0,0,0,,unknown,1.0,True,False
vi-crowdfunding-L4-004,1,crowdfunding,4,vi,ambiguous,done,ok,1,0.00040060002356767654,0.00040060002356767654,0,0,0,,unknown,1.0,True,False
vi-loan-L3-006,1,loan,3,vi,ambiguous,done,ok,1,0.0005315000307746232,0.0005315000307746232,0,0,0,,unknown,1.0,True,False
vi-loan-L1-005,1,loan,1,vi,missing,done,ok,1,0.0005389999714680016,0.0005389999714680016,0,0,0,,unknown,1.0,True,False
vi-infeasible-L3-004,1,infeasible,3,vi,infeasible,done,ok,1,0.0001756999990902841,0.0001756999990902841,0,0,0,,unknown,,False,True
vi-crowdfunding-L1-005,1,crowdfunding,1,vi,missing,done,ok,1,0.00048240000614896417,0.00048240000614896417,0,0,0,,unknown,1.0,True,False
vi-vesting-L3-001,1,vesting,3,vi,complete,done,ok,1,0.00039080000715330243,0.00039080000715330243,0,0,0,,unknown,1.0,True,False
en-third_party-L2-009,1,third_party,2,en,complete,done,ok,1,0.0004773000255227089,0.0004773000255227089,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L3-001,1,escrow_2party,3,vi,missing,done,ok,1,0.0005495999939739704,0.0005495999939739704,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L2-006,1,escrow_2party,2,vi,complete,done,ok,1,0.0005954999942332506,0.0005954999942332506,0,0,0,,unknown,1.0,True,False
en-escrow_2party-L2-005,1,escrow_2party,2,en,missing,done,ok,1,0.0004607999580912292,0.0004607999580912292,0,0,0,,unknown,1.0,True,False
en-vesting-L2-006,1,vesting,2,en,missing,done,ok,1,0.00035829999251291156,0.00035829999251291156,0,0,0,,unknown,1.0,True,False
vi-vesting-L3-008,1,vesting,3,vi,complete,done,ok,1,0.0003434999962337315,0.0003434999962337315,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L1-010,1,escrow_3party,1,vi,complete,done,ok,1,0.00046089995885267854,0.00046089995885267854,0,0,0,,unknown,1.0,True,False
vi-vesting-L1-004,1,vesting,1,vi,complete,done,ok,1,0.0004113999893888831,0.0004113999893888831,0,0,0,,unknown,1.0,True,False
vi-rental_deposit-L4-001,1,rental_deposit,4,vi,missing,done,ok,1,0.0006104000494815409,0.0006104000494815409,0,0,0,,unknown,1.0,True,False
vi-crowdfunding-L3-001,1,crowdfunding,3,vi,complete,done,ok,1,0.00041140004759654403,0.00041140004759654403,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L4-013,1,escrow_2party,4,vi,missing,done,ok,1,0.0005866000428795815,0.0005866000428795815,0,0,0,,unknown,1.0,True,False
vi-loan-L3-008,1,loan,3,vi,missing,done,ok,1,0.0003637999761849642,0.0003637999761849642,0,0,0,,unknown,1.0,True,False
en-third_party-L2-008,1,third_party,2,en,complete,done,ok,1,0.00048349995631724596,0.00048349995631724596,0,0,0,,unknown,1.0,True,False
en-loan-L3-009,1,loan,3,en,complete,done,ok,1,0.0003427000483497977,0.0003427000483497977,0,0,0,,unknown,1.0,True,False
en-milestone-L3-006,1,milestone,3,en,complete,done,ok,1,0.00047389999963343143,0.00047389999963343143,0,0,0,,unknown,1.0,True,False
vi-escrow_2party-L4-009,1,escrow_2party,4,vi,complete,done,ok,1,0.000542099995072931,0.000542099995072931,0,0,0,,unknown,1.0,True,False
en-infeasible-L4-002,1,infeasible,4,en,infeasible,done,ok,1,7.789995288476348e-05,7.789995288476348e-05,0,0,0,,unknown,,False,True
vi-rental_deposit-L2-006,1,rental_deposit,2,vi,complete,done,ok,1,0.0005643999902531505,0.0005643999902531505,0,0,0,,unknown,1.0,True,False
vi-escrow_3party-L3-001,1,escrow_3party,3,vi,complete,done,ok,1,0.0004946999833919108,0.0004946999833919108,0,0,0,,unknown,1.0,True,False
en-vesting-L2-005,1,vesting,2,en,complete,done,ok,1,0.0003475999692454934,0.0003475999692454934,0,0,0,,unknown,1.0,True,False
vi-swap-L2-001,1,swap,2,vi,complete,done,ok,1,0.000470499973744154,0.000470499973744154,0,0,0,,unknown,1.0,True,False
vi-rental_deposit-L3-003,1,rental_deposit,3,vi,complete,done,ok,1,0.0004955999902449548,0.0004955999902449548,0,0,0,,unknown,1.0,True,False
en-rental_deposit-L3-002,1,rental_deposit,3,en,missing,done,ok,1,0.00047500000800937414,0.00047500000800937414,0,0,0,,unknown,1.0,True,False
vi-milestone-L2-004,1,milestone,2,vi,complete,done,ok,1,0.0005762000218965113,0.0005762000218965113,0,0,0,,unknown,1.0,True,False
vi-milestone-L2-001,1,milestone,2,vi,missing,done,ok,1,0.0004937000339850783,0.0004937000339850783,0,0,0,,unknown,1.0,True,False
en-escrow_2party-L3-008,1,escrow_2party,3,en,complete,done,ok,1,0.0004447999526746571,0.0004447999526746571,0,0,0,,unknown,1.0,True,False
vi-vesting-L2-010,1,vesting,2,vi,ambiguous,done,ok,1,0.00037349999183788896,0.00037349999183788896,0,0,0,,unknown,1.0,True,False
vi-infeasible-L1-003,1,infeasible,1,vi,infeasible,done,ok,1,0.00014369998825713992,0.00014369998825713992,0,0,0,,unknown,,False,True
en-escrow_2party-L4-002,1,escrow_2party,4,en,missing,done,ok,1,0.00045009999303147197,0.00045009999303147197,0,0,0,,unknown,1.0,True,False
vi-third_party-L1-001,1,third_party,1,vi,complete,done,ok,1,0.0005454000202007592,0.0005454000202007592,0,0,0,,unknown,1.0,True,False
en-vesting-L2-002,1,vesting,2,en,complete,done,ok,1,0.0005652999971061945,0.0005652999971061945,0,0,0,,unknown,1.0,True,False
vi-infeasible-L3-005,1,infeasible,3,vi,infeasible,done,ok,1,0.00011089997133240104,0.00011089997133240104,0,0,0,,unknown,,False,True
vi-milestone-L2-005,1,milestone,2,vi,complete,done,ok,1,0.00044949998846277595,0.00044949998846277595,0,0,0,,unknown,1.0,True,False
